date,price,ma_small_long,ma_medium_long,ma_large_long,ma_small_short,ma_medium_short,ma_large_short,ma_slope,state_signal,order_signal,current_cash,cfd_units,portfolio_value,last_trade_investment,m_trade_profit ,stop_loss
24/08/2012 01:00,1402.7,1409.88,1409.88,1409.88,1409.88,1409.88,1409.88,-1.01853,1,0,12,0,12,1,0,0
24/08/2012 05:00,1402.2,1408.99,1408.99,1408.99,1408.99,1408.99,1408.99,-1.18077,1,0,12,0,12,1,0,0
24/08/2012 09:00,1398,1407.94,1407.94,1407.94,1407.94,1407.94,1407.94,-1.53042,1,0,12,0,12,1,0,0
24/08/2012 13:00,1410.2,1408.22,1408.22,1408.22,1408.22,1408.22,1408.22,-1.49091,1,0,12,0,12,1,0,0
24/08/2012 17:00,1411.6,1407.97,1407.97,1407.97,1407.97,1407.97,1407.97,-1.07063,1,0,12,0,12,1,0,0
26/08/2012 21:00,1414,1407.75,1407.75,1407.75,1407.75,1407.75,1407.75,-0.446154,1,0,12,0,12,1,0,0
27/08/2012 01:00,1413.2,1407.3,1407.3,1407.3,1407.3,1407.3,1407.3,0.256643,1,0,12,0,12,1,0,0
27/08/2012 05:00,1413.4,1407,1407,1407,1407,1407,1407,0.932168,1,0,12,0,12,1,0,0
27/08/2012 09:00,1415,1407.42,1407.42,1407.42,1407.42,1407.42,1407.42,1.37622,1,0,12,0,12,1,0,0
27/08/2012 13:00,1414.2,1408.27,1408.27,1408.27,1408.27,1408.27,1408.27,1.48182,1,0,12,0,12,1,0,0
27/08/2012 17:00,1409.7,1408.89,1408.89,1408.89,1408.89,1408.89,1408.89,1.26119,1,0,12,0,12,1,0,0
27/08/2012 21:00,1408.4,1409.38,1409.38,1409.38,1409.38,1409.38,1409.38,0.951748,1,0,12,0,12,1,0,0
28/08/2012 01:00,1407.2,1409.76,1409.76,1409.76,1409.76,1409.76,1409.76,0.563986,1,0,12,0,12,1,0,0
28/08/2012 05:00,1410.7,1410.47,1410.47,1410.47,1410.47,1410.47,1410.47,0.256643,1,0,12,0,12,1,0,0
28/08/2012 09:00,1406.6,1411.18,1411.18,1411.18,1411.18,1411.18,1411.18,-0.458741,1,0,12,0,12,1,0,0
28/08/2012 13:00,1412.4,1411.37,1411.37,1411.37,1411.37,1411.37,1411.37,-0.456643,1,0,12,0,12,1,0,0
